ID_client;name;cluster;ID_sector;phone;email;register_date;zipcode;state;city;No;street;visit_day
10001-001;Genius Inc. 032;D;201;+001 100 232-3005;Genius_Inc._032@outlook.com;2008-05-01;10001;NY; New York City;1;14th St;1,0
10001-002;Father And Sons Tech 044;C;201;+001 100 936-9662;Father_And_Sons_Tech_044@outlook.com;2003-03-03;10001;NY; New York City;107;Chestnut St;2,0
10001-003;Alpha Solutions 090;D;201;+001 100 611-2445;Alpha_Solutions_090@outlook.com;2014-06-05;10001;NY; New York City;152;8th St;3,0
10001-004;Digital Corporation 096;D;201;+001 100 684-2310;Digital_Corporation_096@outlook.com;2020-03-01;10001;NY; New York City;165;Willow St;4,0
10001-005;Beta Electronics 004;A;201;+001 100 170-6120;Beta_Electronics_004@outlook.com;2012-11-14;10001;NY; New York City;167;5th St;5,0
10001-006;Father And Sons Corporation 033;D;201;+001 100 951-2014;Father_And_Sons_Corporation_033@outlook.com;2018-07-07;10001;NY; New York City;169;5th St;6,0
10001-007;Father And Sons S.A 010;D;201;+001 100 594-5038;Father_And_Sons_S.A_010@outlook.com;2012-03-18;10001;NY; New York City;19;Lake St;7,0
10001-008;Father And Sons Company 039;D;201;+001 100 204-5533;Father_And_Sons_Company_039@outlook.com;2011-04-02;10001;NY; New York City;206;Elm St;1,0
10001-009;Father And Sons Solutions 043;D;201;+001 100 294-3609;Father_And_Sons_Solutions_043@outlook.com;2014-06-19;10001;NY; New York City;230;Adams St;2,0
10001-010;Digital Corporation 045;C;201;+001 100 346-5709;Digital_Corporation_045@outlook.com;2008-06-18;10001;NY; New York City;283;Lakeview St;3,0
10001-011;Computer Corporation 064;D;201;+001 100 999-3608;Computer_Corporation_064@gmail.com.br;2020-02-15;10001;NY; New York City;306;7th St;4,0
10001-012;Genius Company 001;D;201;+001 100 688-4197;Genius_Company_001@outlook.com;2001-05-01;10001;NY; New York City;370;Ridge St;5,0
10001-013;Alpha S.A 090;D;201;+001 100 353-5891;Alpha_S.A_090@outlook.com;2014-07-23;10001;NY; New York City;385;7th St;6,0
10001-014;Beta Corporation 068;C;201;+001 100 750-8138;Beta_Corporation_068@gmail.com.br;2014-07-08;10001;NY; New York City;410;Highland St;7,0
10001-015;Alpha Store 044;D;201;+001 100 357-2432;Alpha_Store_044@gmail.com.br;2004-07-20;10001;NY; New York City;484;Pine St;1,0
10001-016;Digital S.A 075;D;201;+001 100 148-7787;Digital_S.A_075@outlook.com;2010-09-25;10001;NY; New York City;499;13th St;2,0
10001-017;Technologic Store 096;A;201;+001 100 800-2117;Technologic_Store_096@outlook.com;2002-03-07;10001;NY; New York City;54;Spruce St;3,0
10001-018;Digital World 078;C;201;+001 100 482-4237;Digital_World_078@outlook.com;2013-01-24;10001;NY; New York City;569;Dogwood St;4,0
