ID_client;cluster;ID_sector;Date;order_n
02215-015;C;109;2023-01-02;202301020001
02215-022;B;109;2023-01-02;202301020002
02215-029;D;109;2023-01-02;202301020003
04101-006;D;108;2023-01-02;202301020004
04101-043;D;108;2023-01-02;202301020005
10001-001;C;201;2023-01-02;202301020006
10001-008;D;201;2023-01-02;202301020007
10001-015;C;201;2023-01-02;202301020008
10001-029;B;201;2023-01-02;202301020009
10001-036;B;201;2023-01-02;202301020010
10001-043;B;201;2023-01-02;202301020011
30301-001;D;205;2023-01-02;202301020012
30301-008;C;205;2023-01-02;202301020013
30301-015;D;205;2023-01-02;202301020014
30301-022;D;205;2023-01-02;202301020015
30301-029;C;205;2023-01-02;202301020016
30301-036;D;205;2023-01-02;202301020017
30301-043;D;205;2023-01-02;202301020018
30301-050;D;205;2023-01-02;202301020019
30301-064;D;205;2023-01-02;202301020020
30301-071;D;205;2023-01-02;202301020021
30301-078;D;205;2023-01-02;202301020022
30301-085;C;205;2023-01-02;202301020023
73301-001;D;202;2023-01-02;202301020024
73301-008;D;202;2023-01-02;202301020025
73301-022;B;202;2023-01-02;202301020026
75001-001;C;106;2023-01-02;202301020027
75001-008;D;106;2023-01-02;202301020028
75001-015;D;106;2023-01-02;202301020029
75001-022;D;106;2023-01-02;202301020030
75001-029;D;106;2023-01-02;202301020031
75001-036;B;106;2023-01-02;202301020032
75001-043;A;106;2023-01-02;202301020033
75001-050;C;106;2023-01-02;202301020034
75001-057;D;106;2023-01-02;202301020035
75001-071;C;106;2023-01-02;202301020036
75001-078;B;106;2023-01-02;202301020037
75001-085;C;106;2023-01-02;202301020038
90001-001;D;203;2023-01-02;202301020039
90001-015;C;203;2023-01-02;202301020040
90001-022;C;203;2023-01-02;202301020041
90001-029;D;203;2023-01-02;202301020042
90001-036;D;203;2023-01-02;202301020043
90001-043;A;203;2023-01-02;202301020044
90001-050;D;203;2023-01-02;202301020045
90001-057;D;203;2023-01-02;202301020046
90001-064;C;203;2023-01-02;202301020047
90001-071;B;203;2023-01-02;202301020048
90001-078;D;203;2023-01-02;202301020049
90001-085;A;203;2023-01-02;202301020050
90001-092;B;203;2023-01-02;202301020051
94016-008;C;204;2023-01-02;202301020052
94016-015;D;204;2023-01-02;202301020053
94016-022;D;204;2023-01-02;202301020054
94016-029;C;204;2023-01-02;202301020055
94016-036;B;204;2023-01-02;202301020056
94016-043;D;204;2023-01-02;202301020057
94016-057;D;204;2023-01-02;202301020058
94016-064;A;204;2023-01-02;202301020059
94016-071;B;204;2023-01-02;202301020060
97035-001;D;107;2023-01-02;202301020061
97035-009;D;107;2023-01-02;202301020062
97035-018;D;107;2023-01-02;202301020063
